File                                                RT60(s)  EDT(s)   DRR(dB)
---------------------------------------------------------------------------
rir_anechoic_orient000_mic1.wav                       0.001    0.005        ∞
rir_anechoic_orient000_mic2.wav                       0.001    0.005        ∞
rir_anechoic_orient000_mic3.wav                       0.001    0.005        ∞
rir_anechoic_orient045_mic1.wav                       0.001    0.005        ∞
rir_anechoic_orient045_mic2.wav                       0.001    0.005        ∞
rir_anechoic_orient045_mic3.wav                       0.001    0.005        ∞
rir_anechoic_orient090_mic1.wav                       0.001    0.005        ∞
rir_anechoic_orient090_mic2.wav                       0.001    0.005        ∞
rir_anechoic_orient090_mic3.wav                       0.001    0.005        ∞
rir_anechoic_orient135_mic1.wav                       0.000    0.005        ∞
rir_anechoic_orient135_mic2.wav                       0.001    0.005        ∞
rir_anechoic_orient135_mic3.wav                       0.001    0.005        ∞
rir_anechoic_orient180_mic1.wav                       0.001    0.005        ∞
rir_anechoic_orient180_mic2.wav                       0.001    0.005        ∞
rir_anechoic_orient180_mic3.wav                       0.001    0.005        ∞
rir_reverb_orient000_mic1.wav                         0.257    0.247    12.07
rir_reverb_orient000_mic2.wav                         0.257    0.345     8.20
rir_reverb_orient000_mic3.wav                         0.260    0.247    11.87
rir_reverb_orient045_mic1.wav                         0.278    0.246    11.79
rir_reverb_orient045_mic2.wav                         0.257    0.345     8.20
rir_reverb_orient045_mic3.wav                         0.278    0.245    11.79
rir_reverb_orient090_mic1.wav                         0.266    0.229    12.08
rir_reverb_orient090_mic2.wav                         0.257    0.345     8.20
rir_reverb_orient090_mic3.wav                         0.265    0.228    12.24
rir_reverb_orient135_mic1.wav                         0.278    0.231    11.72
rir_reverb_orient135_mic2.wav                         0.257    0.345     8.20
rir_reverb_orient135_mic3.wav                         0.275    0.245    11.35
rir_reverb_orient180_mic1.wav                         0.260    0.247    11.87
rir_reverb_orient180_mic2.wav                         0.257    0.345     8.20
rir_reverb_orient180_mic3.wav                         0.257    0.247    12.07
